flight_id date hour runway
221001AFR12RQ 221001 19 19R
221001AFR1374 221001 11 19R
221001AFR16HG 221001 21 19L
221001BAW766 221001 14 19L
221001BLX25B 221001 03 19L
221001BNO41S 221001 09 19L
221001BTI15M 221001 16 19R
221001BTI15P 221001 06 19L
221001DHK3318 221001 05 19L
221001DLH1UV 221001 16 19R
221001DLH1YJ 221001 08 19R
221001DLH3UT 221001 10 19R
221001DLH4LF 221001 20 19R
221001DLH866 221001 07 19L
221001DLH8RJ 221001 16 19L
221001DLH9FT 221001 22 01R
221001ETH714 221001 06 19L
221001FHY847 221001 17 19R
221001FIN5KE 221001 05 19L
221001FIN8KM 221001 14 19L
221001FIN9KL 221001 10 19R
221001FOX23S 221001 16 19L
221001FOX30B 221001 21 19L
221001FOX33M 221001 20 19L
221001FOX37G 221001 10 19L
221001FOX3KL 221001 21 01L
221001FOX453 221001 10 19R
221001FOX57D 221001 20 19L
221001FOX61C 221001 12 19L
221001FOX64C 221001 21 01L
221001FOX8029 221001 17 19L
221001FOX96D 221001 17 19L
221001IBE34KV 221001 11 19R
221001ICE318 221001 12 19L
221001ICL972 221001 07 19L
221001KLM1141 221001 06 19L
221001KLM1151 221001 20 19R
221001KLM19J 221001 15 19L
221001KLM29U 221001 09 19R
221001KLM65L 221001 11 19R
221001MDT12 221001 17 19L
221001MDT5 221001 15 19L
221001NBT702 221001 12 19L
221001NJE231E 221001 12 19L
221001NOZ1053 221001 08 19R
221001NOZ1061 221001 10 19R
221001NOZ1075 221001 14 19L
221001NOZ1309 221001 19 19R
221001NOZ1551 221001 12 19L
221001NOZ1641 221001 13 19L
221001NOZ1781 221001 14 19L
221001NOZ1793 221001 21 01L
221001NOZ17Q 221001 22 01R
221001NOZ181 221001 05 19L
221001NOZ1847 221001 13 19L
221001NOZ1909 221001 22 01R
221001NOZ1923 221001 11 19L
221001NOZ1935 221001 22 01R
221001NOZ1GP 221001 14 19L
221001NOZ1HC 221001 05 19L
221001NOZ1KV 221001 06 19L
221001NOZ1LG 221001 14 19L
221001NOZ1YE 221001 05 19L
221001NOZ21M 221001 05 19L
221001NOZ23V 221001 08 19L
221001NOZ271 221001 05 19L
221001NOZ37N 221001 21 19L
221001NOZ383 221001 15 19L
221001NOZ385 221001 19 19L
221001NOZ3HC 221001 19 19L
221001NOZ3NG 221001 11 19R
221001NOZ41B 221001 14 19L
221001NOZ4ES 221001 21 01L
221001NOZ523 221001 06 19L
221001NOZ535 221001 13 19L
221001NOZ53Y 221001 10 19R
221001NOZ5AY 221001 08 19L
221001NOZ5KH 221001 22 01R
221001NOZ5PY 221001 16 19L
221001NOZ5UZ 221001 14 19L
221001NOZ605 221001 06 19L
221001NOZ625 221001 13 19L
221001NOZ653 221001 19 19L
221001NOZ6EJ 221001 06 19L
221001NOZ71PZ 221001 21 01L
221001NOZ7BP 221001 21 01L
221001NOZ7JP 221001 21 01L
221001NOZ7RH 221001 13 19L
221001NOZ813 221001 12 19L
221001NOZ81R 221001 13 19L
221001NOZ85T 221001 20 19L
221001NOZ85TA 221001 22 01R
221001NOZ89Z 221001 23 01R
221001NOZ8GN 221001 06 19L
221001NOZ8UD 221001 22 01R
221001NOZ8US 221001 20 19L
221001NOZ9041 221001 23 01R
221001NOZ9055 221001 23 01R
221001NOZ9057 221001 14 19L
221001NOZ91H 221001 13 19L
221001NOZ941 221001 14 19L
221001NOZ949 221001 17 19L
221001NOZ9T 221001 16 19L
221001NSZ8922 221001 21 01R
221001QTR6L 221001 10 19L
221001RUK63DW 221001 21 19L
221001RYR1MA 221001 04 19L
221001SAS1313 221001 05 19L
221001SAS1327 221001 18 19L
221001SAS1468 221001 18 19R
221001SAS214 221001 10 19L
221001SAS2302 221001 06 19L
221001SAS238 221001 05 19L
221001SAS248 221001 07 19L
221001SAS262 221001 10 19L
221001SAS268 221001 12 19L
221001SAS274 221001 15 19L
221001SAS286 221001 17 19L
